PhoneNumber,CallDuration,IsSpam,CallFrequency
+1211881065,284,nospam,1
+91120468906,153,nospam,2
+91992900657,7,spam,2
+91801428410,504,nospam,1
+91129770957,389,nospam,3
+91125339180,411,nospam,1
+91127476077,153,nospam,2
+44755730086,470,nospam,2
+91993782414,21,spam,5
+44700489584,6,spam,6
8001896675,23,spam,10
1405650430,20,spam,5
+91807185439,457,nospam,1
+91996517208,8,spam,9
+91124961777,87,nospam,3
+44705661766,12,spam,8
+44758470576,202,nospam,2
18004250771,7,spam,7
+44705889290,28,spam,9
+91126617451,523,nospam,1
+44753308144,396,nospam,2
+44751205881,427,nospam,1
+44758317486,271,nospam,1
+91800222133,408,nospam,3
+91802456773,186,nospam,3
+1211907670,514,nospam,3
+91803214604,235,nospam,2
+91128360730,426,nospam,2
+91127016879,423,nospam,3
18009807216,15,spam,10
+91126852560,69,nospam,3
1407592410,28,spam,8
+1211274749,452,nospam,3
+44700746438,29,spam,5
+44702877496,24,spam,6
+91801100931,489,nospam,3
+91129831565,252,nospam,2
8003019183,11,spam,7
+91805193150,550,nospam,2
+91126307032,138,nospam,2
+44754415544,208,nospam,2
18004079010,29,spam,7
+91121602808,343,nospam,1
+91123559854,111,nospam,2
+91127960738,534,nospam,2
+91808402352,82,nospam,2
+91804370180,64,nospam,3
+91129379383,228,nospam,2
+91808033616,185,nospam,2
+1217638266,174,nospam,3
+91124206028,268,nospam,2
+91990223756,6,spam,2
+91125510813,477,nospam,2
+1214456259,101,nospam,2
+91994591541,9,spam,2
8000799257,13,spam,7
+91991344877,11,spam,10
+91808578771,483,nospam,1
+1215990175,292,nospam,2
18007443638,30,spam,2
+44700396386,22,spam,2
+91128695879,439,nospam,3
+91120848087,145,nospam,1
8002620170,9,spam,5
+44758835649,104,nospam,2
+44759350352,165,nospam,2
+44757212756,217,nospam,3
+91809364749,541,nospam,2
+91806620185,417,nospam,3
+91122620988,405,nospam,3
8007639642,9,spam,5
+91806279596,584,nospam,2
+44756792989,342,nospam,3
+91125032088,89,nospam,2
+44758486363,378,nospam,2
18001164463,20,spam,8
+91124939788,169,nospam,3
+91127597253,177,nospam,3
+91127679141,481,nospam,3
+91120351084,313,nospam,1
+91121528243,318,nospam,3
+44753402488,492,nospam,1
+91120361965,567,nospam,2
1400305914,29,spam,6
+91125630487,65,nospam,3
1401020869,6,spam,3
18003855663,27,spam,7
+91809971271,330,nospam,3
+1212951984,82,nospam,2
+91801690285,356,nospam,2
+44759661561,98,nospam,2
+1212230560,115,nospam,3
+1217347630,538,nospam,2
+91803965120,304,nospam,1
+91125570656,275,nospam,1
8009396665,16,spam,8
+1219142432,115,nospam,1
+44752246366,471,nospam,3
+44750335888,368,nospam,3
+44753626360,397,nospam,3
+91802759411,316,nospam,1
18003544225,7,spam,5
+91990465336,15,spam,4
+1212338302,145,nospam,2
8002478111,23,spam,5
1403995375,26,spam,6
+1212323512,452,nospam,1
+91128440654,526,nospam,2
+91801966709,338,nospam,1
+91800880328,195,nospam,1
+91807191539,263,nospam,2
18008991891,24,spam,4
+1215869177,318,nospam,2
+1216562682,350,nospam,3
+91997618312,17,spam,6
+91998085936,19,spam,2
+44700995054,25,spam,2
+91807245568,152,nospam,2
+91995354317,25,spam,8
8007637040,24,spam,8
+91992163768,23,spam,2
+91993375933,9,spam,9
+1215876230,424,nospam,3
+91804087382,257,nospam,3
+44704306348,11,spam,8
+91122352097,599,nospam,1
18003347665,8,spam,8
+1216889499,95,nospam,1
8004114531,20,spam,7
+1215424527,198,nospam,3
+44756201126,554,nospam,1
+44753308966,394,nospam,3
+91126287962,245,nospam,2
+1217974542,553,nospam,2
+91801752174,531,nospam,2
+91807187532,353,nospam,2
+91806204035,75,nospam,3
+44751076199,349,nospam,1
+1210430573,363,nospam,1
+1210584739,149,nospam,2
+91806768272,542,nospam,1
+91127699898,589,nospam,3
+1212026238,487,nospam,3
+1213979659,165,nospam,1
8005660372,11,spam,7
+44750754652,334,nospam,1
1407194170,22,spam,8
+91125912884,459,nospam,2
+91123730901,278,nospam,2
+44752020446,344,nospam,1
8009569490,25,spam,4
+1214374082,573,nospam,3
+1218030873,73,nospam,1
18009322476,30,spam,10
18005662091,14,spam,6
+91121338381,322,nospam,1
+44706397701,6,spam,8
18004707108,26,spam,6
+44755366158,339,nospam,3
8004761116,23,spam,3
8001304740,21,spam,8
+1214614654,545,nospam,2
1407243426,20,spam,7
+1210375804,119,nospam,3
+91806840860,546,nospam,3
+44709300471,30,spam,9
8003758560,9,spam,8
+91126377866,537,nospam,3
+1218920187,564,nospam,1
+44759729884,245,nospam,2
+91122025480,566,nospam,3
+1214003117,314,nospam,3
+91806770675,349,nospam,1
+44709053683,26,spam,9
+91124308944,179,nospam,1
8004396882,17,spam,5
+91122752384,508,nospam,1
1408127989,30,spam,8
+91122608781,231,nospam,3
+91121013640,503,nospam,3
+44750321177,154,nospam,2
+44758504080,237,nospam,2
+44758902092,576,nospam,3
+91128511581,442,nospam,3
+91129518552,88,nospam,3
+91997328006,18,spam,8
+44706563267,29,spam,3
+91120910491,518,nospam,3
+91809490684,221,nospam,2
+1210622199,323,nospam,2
+91800334630,476,nospam,2
+1218895991,261,nospam,1
+1210532604,460,nospam,3
8006108695,17,spam,3
8007691800,6,spam,2
+1217984246,153,nospam,2
+91124233199,334,nospam,2
+91129643170,340,nospam,3
18000209834,21,spam,10
+91805836940,443,nospam,2
+91990589236,19,spam,7
+1210962023,397,nospam,2
+91122861018,93,nospam,2
1400838309,9,spam,9
+91804339394,72,nospam,2
+91809379193,351,nospam,1
+91806943012,428,nospam,1
+91804975039,396,nospam,3
+91123618928,425,nospam,2
+91999128321,24,spam,7
1400289741,14,spam,4
+1217834886,347,nospam,2
+1210491159,572,nospam,2
+44758643414,403,nospam,2
+44757477544,408,nospam,1
18000950219,20,spam,7
8008099340,7,spam,8
+44753089349,171,nospam,3
+91127264252,157,nospam,2
+91129326067,450,nospam,3
1402863338,27,spam,9
+44703327828,7,spam,7
+44750643587,82,nospam,1
+91122852564,496,nospam,3
+91992870191,20,spam,8
+91803383986,395,nospam,3
+44702065248,14,spam,6
+91801525002,576,nospam,3
+1215350065,74,nospam,1
8002467138,23,spam,4
+91804385101,98,nospam,3
+44755290455,328,nospam,2
18003805842,15,spam,6
+91997824337,17,spam,8
+91125816493,437,nospam,1
+91806082308,89,nospam,1
+44752637424,71,nospam,1
+44705809481,10,spam,4
+91800916997,584,nospam,3
+44753977968,476,nospam,1
+1218763879,426,nospam,3
18003073017,21,spam,6
18000102914,20,spam,2
+1219092617,553,nospam,3
+44756264142,161,nospam,1
+91123003684,570,nospam,2
+91800548594,103,nospam,2
+91809632373,519,nospam,1
+1214235686,166,nospam,1
+44753963491,453,nospam,1
+1210332171,134,nospam,1
+44756067960,150,nospam,2
18002218357,30,spam,2
+91805983187,240,nospam,3
18008612142,25,spam,7
+91999728608,11,spam,2
+1214168311,315,nospam,3
1404323970,7,spam,9
+91124356843,584,nospam,2
1403308073,19,spam,8
+44754542909,453,nospam,2
+1215849669,534,nospam,3
+44757719889,379,nospam,1
+91129760860,438,nospam,2
+91121966186,282,nospam,2
+91807136840,474,nospam,1
+91805245048,130,nospam,3
8003796015,18,spam,3
1400367993,8,spam,4
+91127685491,352,nospam,1
+44706485322,26,spam,2
+91127593012,594,nospam,2
+1215230023,386,nospam,3
+91801246601,332,nospam,2
1407207979,24,spam,2
+1219097487,121,nospam,1
+1218707490,165,nospam,3
+44755684020,588,nospam,3
1405310938,26,spam,2
+1216807458,519,nospam,1
+44755885120,533,nospam,1
+1215564064,280,nospam,3
+44758232882,461,nospam,1
8000238046,9,spam,9
+44758015143,452,nospam,1
+91127036762,345,nospam,1
18000084499,6,spam,4
+1212655641,386,nospam,2
1400742935,5,spam,7
+91128997852,371,nospam,1
+1216799219,523,nospam,3
+44755052291,571,nospam,1
+91127898461,124,nospam,3
+44758094740,437,nospam,1
+44757582556,322,nospam,1
+1213921504,370,nospam,3
8006996967,21,spam,10
+1216579533,341,nospam,3
+44759989184,234,nospam,2
+44702846187,25,spam,7
18003529306,8,spam,7
+91998300710,7,spam,4
+44754427950,570,nospam,3
+91800130585,248,nospam,3
8000708190,16,spam,6
+91809327324,459,nospam,1
+91800477890,502,nospam,1
+91805367209,63,nospam,2
+44751446811,231,nospam,3
+44751952000,210,nospam,1
+44752444076,278,nospam,1
+91804864168,572,nospam,3
+91803858741,494,nospam,1
+44705543247,21,spam,3
+1218598923,535,nospam,3
+44754558664,147,nospam,2
+44750338136,459,nospam,1
+91809900422,273,nospam,3
+1217839315,436,nospam,3
+91125384086,279,nospam,1
+91804985407,577,nospam,1
+44758703611,551,nospam,3
+44751440715,299,nospam,3
+44752092936,378,nospam,2
+91124507648,129,nospam,2
+91809909099,437,nospam,1
1406844546,23,spam,9
8008820585,18,spam,3
+44751531945,431,nospam,1
1407801132,29,spam,10
+1219762307,309,nospam,3
+91124197556,299,nospam,1
+44758213058,78,nospam,2
1400207032,11,spam,7
+44755758158,579,nospam,3
+44756752352,504,nospam,3
+44750249762,107,nospam,1
+91806152761,62,nospam,1
+91127847215,481,nospam,2
+91800456880,395,nospam,1
+44756181077,182,nospam,1
+1213602532,527,nospam,1
+91126723638,577,nospam,2
+91994614699,6,spam,8
+91995277082,22,spam,9
+91804548736,409,nospam,1
+44706060645,27,spam,9
+91800321908,388,nospam,3
+44752300824,533,nospam,1
+91801658938,415,nospam,3
+1219830269,368,nospam,1
+1219146996,509,nospam,1
+91804095292,535,nospam,3
+1213615376,300,nospam,2
18005605813,23,spam,3
+91127127816,455,nospam,3
8008084645,30,spam,10
+44752604970,142,nospam,1
+44756553777,265,nospam,2
+91129355108,321,nospam,1
1407348060,29,spam,7
+1217458032,469,nospam,3
+91802823237,225,nospam,3
18003777300,16,spam,6
+1215222409,154,nospam,2
1403102157,14,spam,8
+91801993788,64,nospam,2
+91995946632,25,spam,2
+1210094824,523,nospam,1
+91996965440,15,spam,4
+91809558689,247,nospam,3
+1213334386,458,nospam,1
18004617481,21,spam,5
+91129271106,338,nospam,2
+91802754040,263,nospam,1
8001934338,27,spam,4
1403928227,26,spam,9
18002632703,6,spam,7
+44756689734,444,nospam,2
+91120591406,468,nospam,2
+44752457944,156,nospam,3
+91120452824,588,nospam,2
+91128200928,404,nospam,3
+44752734335,228,nospam,1
+91125257563,514,nospam,3
+91802798797,401,nospam,1
+91999943589,6,spam,7
1406803004,28,spam,5
+44755239195,70,nospam,1
+44758563833,70,nospam,3
+44757146146,171,nospam,2
+91808968464,312,nospam,3
+91807976973,295,nospam,3
+44753257447,579,nospam,2
+1211996548,211,nospam,3
+91807395992,257,nospam,1
+91128106474,213,nospam,1
+1214296642,386,nospam,3
+44753845253,285,nospam,2
+91122173785,521,nospam,3
+91804603803,438,nospam,1
+91125831712,140,nospam,1
+91125954067,294,nospam,3
+91802484562,80,nospam,1
+91802682828,521,nospam,3
+44707911144,22,spam,9
18005501624,21,spam,8
+91123690266,242,nospam,3
+91124235447,263,nospam,2
18000483855,15,spam,2
+44755386889,128,nospam,3
+1216661609,372,nospam,3
+44703593781,20,spam,8
1407483909,29,spam,6
+91990221457,10,spam,7
+91129886199,421,nospam,2
+44752898751,62,nospam,1
+1213569532,528,nospam,2
+44756184040,161,nospam,2
+91129229637,560,nospam,1
1400434167,15,spam,5
+91126085723,153,nospam,1
+1215968841,338,nospam,3
+91122031006,387,nospam,3
+44759845149,176,nospam,1
+1219104795,109,nospam,2
+91126703481,102,nospam,2
+91809574334,95,nospam,1
+1219818489,96,nospam,1
+91125880876,385,nospam,2
+44757197874,113,nospam,2
+1214282063,146,nospam,2
+91804492365,123,nospam,3
+91806425161,344,nospam,2
+44705395747,11,spam,6
+44707181186,28,spam,2
+91807458197,443,nospam,1
+1217361950,61,nospam,2
+91992268237,14,spam,2
8005531667,15,spam,7
+44759086651,302,nospam,3
+91998099727,21,spam,7
+91125630074,568,nospam,1
+91991872162,8,spam,3
+91803868897,274,nospam,3
+91120183887,110,nospam,2
+91126831295,103,nospam,3
+44757015223,329,nospam,1
+91992693308,17,spam,3
+91809918936,414,nospam,3
+91809671772,279,nospam,1
18003970217,11,spam,6
+44756193779,289,nospam,1
+1211196732,236,nospam,2
18002852770,10,spam,9
+91802654298,189,nospam,3
+91124727456,313,nospam,3
+44700412802,6,spam,2
+1213712840,176,nospam,3
8000497519,23,spam,5
18000886977,8,spam,10
+1218905457,429,nospam,3
+91128660629,154,nospam,3
+91992954003,15,spam,8
+1210476430,368,nospam,1
+91802251267,99,nospam,3
+91994381836,19,spam,4
+44753056934,319,nospam,2
8003776850,25,spam,3
+91127239254,529,nospam,1
+91800077498,595,nospam,2
+44750334386,471,nospam,2
+91803831822,140,nospam,3
+1214588729,472,nospam,1
+91129681898,154,nospam,2
8003651813,6,spam,10
1403224185,16,spam,3
+1213146476,542,nospam,1
+1211344465,419,nospam,2
+91127571200,302,nospam,3
+91806434084,485,nospam,2
8002444947,17,spam,3
+44701210164,19,spam,3
+91123049645,378,nospam,3
+91125340454,153,nospam,2
18004814866,23,spam,10
+44757487645,406,nospam,2
8001594803,18,spam,3
+91802304560,407,nospam,2
+91802927518,172,nospam,3
+1210080374,465,nospam,2
1409570306,10,spam,10
+91805547003,494,nospam,1
+91805987762,194,nospam,1
+91801640450,359,nospam,3
+91801561872,337,nospam,1
+91806401276,514,nospam,1
+91996433127,14,spam,5
+91801827991,100,nospam,2
+1216042121,571,nospam,3
18001709512,30,spam,6
+44758105745,571,nospam,2
+91802366794,560,nospam,2
+1217128056,232,nospam,3
+44700745868,9,spam,9
+91805039195,454,nospam,1
18005598230,22,spam,2
+1217827073,544,nospam,1
+91804870203,231,nospam,3
+91805215548,177,nospam,3
+91805009730,374,nospam,1
+44708070645,6,spam,8
+91127256443,476,nospam,2
+91809044629,377,nospam,2
+91803284212,410,nospam,1
8009011057,11,spam,8
+1219809957,532,nospam,3
+1210759287,566,nospam,3
+44755422212,82,nospam,2
+44754064342,194,nospam,2
+91120326564,492,nospam,2
+91125549091,525,nospam,1
+44758502894,402,nospam,3
8000572416,20,spam,4
+1217512392,132,nospam,1
+91800420445,491,nospam,2
+44758348240,336,nospam,1
8002066421,17,spam,4
+91997023605,13,spam,2
+1214960169,438,nospam,2
18001463109,23,spam,7
+91993131807,11,spam,6
+91125443477,246,nospam,1
+91121257882,538,nospam,2
8000240369,11,spam,4
+44759124097,233,nospam,2
8002995629,15,spam,6
8002106368,13,spam,9
+91122120987,101,nospam,3
1408736581,28,spam,5
+91127488601,73,nospam,3
+91991261661,5,spam,9
+91126914469,83,nospam,3
+44751355398,351,nospam,2
+91122863073,302,nospam,1
+44752088686,233,nospam,2
+91123507080,565,nospam,2
+44753438098,251,nospam,3
+1216699697,255,nospam,3
18008262770,26,spam,9
8006632291,10,spam,4
+1212027961,72,nospam,2
+91123450855,139,nospam,3
+91803567069,409,nospam,1
+1218273537,597,nospam,1
1403908870,29,spam,7
+91999111246,24,spam,2
+91800195205,196,nospam,1
+91801775567,472,nospam,3
+44756744853,333,nospam,2
+91125732334,208,nospam,3
+44751435515,375,nospam,2
+91803689274,75,nospam,2
+91805564599,163,nospam,3
8004881126,23,spam,10
+1219072084,248,nospam,3
+91805784604,254,nospam,3
+91123011784,113,nospam,2
+91120580833,120,nospam,2
+44757360468,538,nospam,1
+91126216799,385,nospam,3
+1210766009,72,nospam,3
+91120418093,500,nospam,2
+44759107192,595,nospam,1
+91120480021,482,nospam,1
+44751926456,488,nospam,2
+91993435211,8,spam,2
+1216264728,68,nospam,1
+91121098208,144,nospam,3
+1211951256,442,nospam,1
+91803269231,524,nospam,1
1402315449,26,spam,5
+1218295710,64,nospam,3
+44756031447,427,nospam,2
+91806813984,239,nospam,2
+91804326605,355,nospam,3
+91801277856,455,nospam,1
+44758115709,141,nospam,2
+91125241443,137,nospam,2
+91122617779,149,nospam,2
+91805457138,212,nospam,2
+91995473516,27,spam,9
+91804799192,319,nospam,3
+1214921415,223,nospam,2
1405486781,30,spam,8
+44706826388,27,spam,8
8008291475,22,spam,8
+91124595632,275,nospam,1
+91122340193,221,nospam,1
18009009048,30,spam,6
+44755186737,220,nospam,1
+1214643629,436,nospam,2
+91129519603,369,nospam,1
+44751967959,143,nospam,3
1405834254,30,spam,10
+44754312540,284,nospam,3
+91128005389,484,nospam,1
8007985721,17,spam,10
+91804177961,191,nospam,3
+91125584061,593,nospam,1
+91802883870,215,nospam,1
+44704089165,29,spam,3
+91807453076,348,nospam,1
8007137932,21,spam,9
+1211594949,173,nospam,2
+44759016267,382,nospam,2
8001460359,27,spam,5
+44708627405,21,spam,8
+1210736835,280,nospam,1
+44756792357,450,nospam,2
+1215435946,517,nospam,2
+91999169252,7,spam,2
+44753260362,253,nospam,1
+44752034097,90,nospam,1
+1219765559,488,nospam,1
+91804736599,301,nospam,2
+91801624778,106,nospam,2
+1216560490,300,nospam,2
+1211390265,345,nospam,3
18006245040,30,spam,9
+91998260035,20,spam,9
+91804535696,76,nospam,3
+44709508448,18,spam,3
8004907494,16,spam,2
+44754618805,76,nospam,3
+1211928290,361,nospam,2
+44759215704,409,nospam,1
+91802397182,335,nospam,2
18007988626,19,spam,3
18009833013,21,spam,9
8005652574,22,spam,9
+44757881059,559,nospam,2
+91805059062,560,nospam,2
+91807243780,201,nospam,1
+91994828601,6,spam,9
+44758424363,479,nospam,1
+91124480141,239,nospam,3
+91809000665,381,nospam,2
+91128890975,523,nospam,1
+1211102220,344,nospam,3
+91802663984,522,nospam,1
8008036591,28,spam,2
+1214572179,217,nospam,1
18001032001,6,spam,5
+91126563602,397,nospam,2
+91126207570,504,nospam,2
+91996971396,9,spam,2
+1219070565,578,nospam,2
8007723679,29,spam,10
+91121318235,117,nospam,3
+1217087255,155,nospam,1
+91809181296,508,nospam,1
+91125640043,79,nospam,3
+44702238183,14,spam,5
+91802818229,502,nospam,2
+44708862814,14,spam,10
+44757767412,423,nospam,2
+1217309655,479,nospam,1
+91990859817,11,spam,10
18004280890,23,spam,9
+91992324100,13,spam,9
+44759646995,476,nospam,1
18001998659,24,spam,7
+44757725439,411,nospam,1
+44751458822,394,nospam,3
+1215315707,451,nospam,3
+91127367237,118,nospam,3
1403940879,23,spam,5
+44752006540,462,nospam,1
18001713829,9,spam,3
+91120196643,488,nospam,3
+91803028005,326,nospam,3
18006587371,7,spam,3
+44757989030,165,nospam,1
+91122504163,266,nospam,1
1404787631,7,spam,4
+91120345526,303,nospam,1
+44757266202,136,nospam,3
8004247543,5,spam,6
+91993509159,27,spam,3
+91122823706,98,nospam,1
+91800072331,485,nospam,3
+44757782821,301,nospam,1
+1215632642,260,nospam,1
+91122829873,410,nospam,3
+91120468568,334,nospam,2
18000450207,30,spam,9
+91124490319,174,nospam,2
+91129993082,529,nospam,1
+1210428167,546,nospam,1
+1215587425,232,nospam,3
+1217211751,371,nospam,1
+44753387351,473,nospam,1
8006989732,25,spam,8
+91120810854,253,nospam,3
+91992683559,21,spam,6
+1214734312,529,nospam,1
+91992583079,17,spam,3
+91124483528,402,nospam,1
+44753052700,260,nospam,3
+44706916192,18,spam,7
+91124938737,247,nospam,3
+44758752671,244,nospam,2
+44759046798,379,nospam,3
8006628598,12,spam,3
+91805979346,300,nospam,3
+1216538334,244,nospam,1
+91124844901,84,nospam,3
+91804500567,357,nospam,2
+91805046682,177,nospam,1
8007691962,8,spam,9
+91128102058,289,nospam,1
+1216541161,159,nospam,3
+44751215552,202,nospam,3
+91806598264,419,nospam,2
+91128777387,212,nospam,2
+91998159994,5,spam,9
+1219862050,288,nospam,1
+44757686137,479,nospam,2
+91127702942,599,nospam,3
+91801345758,132,nospam,3
+44756142530,278,nospam,1
18001821163,21,spam,6
8000787947,8,spam,6
+1216348591,470,nospam,3
+44754042291,559,nospam,1
+1218409227,325,nospam,2
+44751926216,110,nospam,3
+91802144725,383,nospam,2
+44703850799,29,spam,6
+91124713611,559,nospam,3
+44753505125,244,nospam,1
+44757153627,439,nospam,3
+91800712651,138,nospam,1
18004385888,24,spam,3
+44759815368,110,nospam,3
+91127231458,408,nospam,2
+1214254174,201,nospam,1
+91995815421,16,spam,3
+91128620080,226,nospam,2
+1214156939,148,nospam,1
18004416445,19,spam,4
+91999149152,10,spam,6
+44754264038,555,nospam,2
+44750377316,118,nospam,2
+91808758550,577,nospam,3
+1215604934,162,nospam,3
8001684861,26,spam,10
+1218861103,243,nospam,1
+44754682662,71,nospam,2
+91996133299,17,spam,6
+1212284914,87,nospam,2
18008127837,16,spam,9
+91995837273,17,spam,5
+91808005436,502,nospam,1
+44755671963,311,nospam,2
+91800828628,431,nospam,2
+91801437114,326,nospam,3
+91124550117,344,nospam,1
+1213993676,553,nospam,3
+91125322290,211,nospam,1
1409598073,18,spam,3
+91807444068,172,nospam,3
+91808136233,411,nospam,1
+91125968712,546,nospam,3
+44703628813,16,spam,9
+91127696216,413,nospam,3
+1214630406,118,nospam,2
+91120047916,61,nospam,1
8001921137,5,spam,10
+44753967832,232,nospam,1
+91120545116,521,nospam,1
+1210760281,422,nospam,1
+44709143992,10,spam,5
1406427596,22,spam,3
+91123794641,564,nospam,3
+91128851134,284,nospam,2
+1211467189,474,nospam,2
+91809888363,88,nospam,1
+91129428474,75,nospam,1
18001089892,19,spam,7
+44706820847,10,spam,2
+91129208119,87,nospam,3
+44758537702,193,nospam,2
+91806483312,394,nospam,2
8006803260,9,spam,7
+44750141437,94,nospam,2
+91809499561,353,nospam,1
+91997177299,22,spam,4
18005036945,24,spam,2
+91129968520,279,nospam,2
+44702015344,27,spam,7
+44752789388,134,nospam,2
+91808277676,132,nospam,2
+91807656657,109,nospam,1
+1216893607,540,nospam,3
+91805159722,327,nospam,1
+44702771164,29,spam,6
+91801301412,238,nospam,2
18000777497,18,spam,2
+91806755137,92,nospam,1
+91121879584,316,nospam,2
1408876342,22,spam,9
+1217139920,558,nospam,3
+44756208146,326,nospam,3
+1214707837,462,nospam,3
+1216106546,349,nospam,3
+44701407550,21,spam,8
8008878077,21,spam,10
+91128063082,75,nospam,1
+44700446825,18,spam,8
+1215340620,293,nospam,3
+91803378016,256,nospam,3
+1214169686,246,nospam,1
+91800791205,135,nospam,2
8005694594,20,spam,6
+44706210049,13,spam,10
+44750206736,474,nospam,1
+91997012012,15,spam,7
1400263479,16,spam,3
18002521530,22,spam,9
+44751863248,357,nospam,1
+91995910062,15,spam,5
+44752707362,283,nospam,3
1406138904,13,spam,7
+44700182975,18,spam,8
8000085961,18,spam,2
18002597877,25,spam,10
+91121431792,145,nospam,1
+91124957193,147,nospam,1
+44758695837,595,nospam,3
+91128122636,534,nospam,3
8007127399,21,spam,9
+44752448062,300,nospam,1
+44709106493,9,spam,6
+1214350087,153,nospam,1
+91122018459,90,nospam,1
+1212241942,514,nospam,2
+91800842119,540,nospam,3
8004942503,19,spam,4
+91805533731,178,nospam,3
+44701399704,8,spam,7
+91803579584,430,nospam,2
+91123928677,140,nospam,2
+44753615893,168,nospam,3
+1210775262,390,nospam,2
18005503958,15,spam,10
+91125986333,444,nospam,3
+91804604048,557,nospam,3
1406148261,27,spam,8
+91122973321,263,nospam,1
1402972241,10,spam,6
+1212228560,486,nospam,1
18008789807,5,spam,2
8003102746,30,spam,9
+91991089825,28,spam,10
18006837037,27,spam,10
+91996040900,10,spam,7
+1211097772,377,nospam,2
+44705320615,10,spam,5
18006896154,29,spam,7
+1211106786,343,nospam,3
+44707609546,30,spam,7
